route,mode,statistic,estimate,ci_lower,ci_upper,n_candidates,units,run
A,L0,post_T,0.018413683721029715,-0.023194224533799566,0.059939867178531676,55,cosine_difference,A_L0_core_001
A,R_SUP,post_T,0.041813321614712136,-0.0016369159412120552,0.08896226931281295,55,cosine_difference,A_SUP_RAND_core_001
A,R_RAND,post_T,0.023166959622181488,-0.012213894212043842,0.062219019786931444,55,cosine_difference,A_SUP_RAND_core_001
B,L0,calibrated_main_gain,-0.0016727099383447408,-0.0026009574339566767,-0.0007459135817781616,60,bits/trial,B_L0_001
B,R_SUP,calibrated_main_gain,-0.0013367657419853943,-0.0022831649221587637,-0.0004115449779094733,60,bits/trial,B_SUP_RAND_core_001
B,R_RAND,calibrated_main_gain,-0.0015163364644868746,-0.0025478395229750553,-0.0004624008607270599,60,bits/trial,B_SUP_RAND_core_001
C,L0,T_C_linear_calibrated,-0.0001967462325576097,-0.0009228881760523861,0.00020853241718099254,60,bits/trial,C_linear_L0_SUP_RAND_002
C,L0,T_C_linear_raw,-9.785639041193228e-05,-0.0013601439511175622,0.0006684502795669122,60,bits/trial,C_linear_L0_SUP_RAND_002
C,R_RAND,T_C_linear_calibrated,9.349004130443372e-05,-0.0006058444589666978,0.0006020183576841115,60,bits/trial,C_linear_L0_SUP_RAND_002
C,R_RAND,T_C_linear_raw,-0.00047374728490212625,-0.0014777862289958089,0.0003072189773555916,60,bits/trial,C_linear_L0_SUP_RAND_002
C,R_SUP,T_C_linear_calibrated,-0.008053674038559722,-0.011348174785764664,-0.006053436235234688,60,bits/trial,C_linear_L0_SUP_RAND_002
C,R_SUP,T_C_linear_raw,-0.009334573624348197,-0.012905116804631023,-0.007412674562258716,60,bits/trial,C_linear_L0_SUP_RAND_002
D,L0,D2_minus_D3,-0.3288601292400475,-0.5909764821314014,-0.09915063011474737,51,MUSS_source_points,D_L0_core_001
D,R_SUP,D2_minus_D3,0.0,0.0,0.0,51,MUSS_source_points,D_SUP_core_001
E,E0_native,linear_calibrated_J_puretone,-0.001936642708885304,-0.008220011745785969,0.0036278042055953546,7,bits/trial,E0_native_003
E,E0_native,linear_calibrated_J_bapa,-0.011900031438338954,-0.017373607378354826,-0.006668964215837625,7,bits/trial,E0_native_003
